Player,Age,AV,Height,Wt,40YD,Vertical,Broad Jump,3Cone,Shuttle,Pro-Bowler
Jason McAddley,22,4,6-1,203,4.47,36.5,123,6.83,4.09,N
Lee Mays,23,1,6-1,190,4.55,32.5,119,7.08,4.17,N
Ashley Lelie,22,39,6-3,197,4.49,,,,,N
Daryl Jones,23,1,5-9,180,4.35,,,,,N
Ron Johnson,21,1,6-2,225,4.7,34.5,118,7.12,4.02,N
Javin Hunter,21,0,5-11,186,4.47,41,129,6.84,4.04,N
Kahlil Hill,22,0,6-2,200,4.65,35,,,,N
Herb Haygood,24,0,5-11,193,4.45,33,114,6.65,4.26,N
David Givens,21,23,6-0,217,4.56,40.5,126,6.82,4.13,N
Jabar Gaffney,21,52,6-1,193,4.56,,,6.87,4.06,N
Andre' Davis,22,26,6-1,194,4.42,39.5,123,6.77,4.1,N
Tim Carter,22,10,6-0,190,4.32,39,126,6.68,3.93,N
Kelly Campbell,21,12,5-10,171,4.48,,,,,N
Reche Caldwell,22,21,6-0,194,4.53,41.5,130,7,4.1,N
Antonio Bryant,20,42,6-1,188,4.57,37,121,,,N
Deion Branch,22,64,5-9,191,4.47,36,117,6.71,3.78,N
